Text,Summary,Score
"First, a bunch of us tried this product, but rate it poor after comparing it with another brand. And, we found out it has granulated garlic, possibly onion. It does not say it on the ingredient label like every other jerky company does; even in addition to ""spices"". Here it is part of the ""vegetarian spices"" ingredient.<br /><br />  The company does not seem very forthcoming. Anyway, we found a company tasty eats which sales ginger, teriyaki, original, peppered, hot n'spicy and even unsweetened jerky and none of it contains garlic or onion. We also found it to be the best in quality, texture and flavor. In fact, we ordered six cases of the ginger direct from the company. They are out of their bestselling teriyaki, original and many other flavors. But, we'll order those when they are available.<br /><br />  Really try it, it is truly the best: tasty eats soy jerky. We have tried numerous jerkys for vegans and vegetarians; and many do not want garlic or onion powder in them. This tasty eats soy jerky is the best tasting and what more, no onion or garlic powder in any of their product line. They are rated 5 of 5. This primal strip does not compare.","IF you like this, just try tasty east Soy Jerky",1
"I wanted to get some jerky and since I like buffalo wings I tried these. The problem is there is way too much salt, it's disgustingly salty, way more than normal jerky. I can barely eat it. If you eat a 3.25 oz package of these you will have eaten 1840mg of sodium, instant high blood pressure.","Disgustingly salty, in a dog treat shape",1
Wanted to try this brand of chia seeds and althought the packaging and seeds seemed fine enough I almost chipped a tooth from a seed that straggled its way in. That means they don't clean these seeds good. Bummer - guess thats why theyre so cheap.,Watch out for rocks,1
Worthless product.,Hated it!,1
"Honest review after eating this madicine for one month. For one week I felt good. But after one week start getting side effects. Pimples on face even very big pimples on back. Bloating, loose motions, fever. For me it was worst. I don't know what's in these tablets but it's gonna make you sick for sure. For skinny people it's a slow process to gain weight. So don't believe in such medicines. Drink banana shake on regular basis.You can have liv52. And ashwagandha, shatavari.Drink minimum ...",Absolute rubbish!,1
Display  not work properly. Machine hanging problem,Not recommended at all,1
"Do not buy these terrible,tiny and extremely salty snacks.  You cannot even call it a snack because they're so little.  Awful taste and salt-laden, save your cash.",Save your money!,1
Not value for money. Features are useless. It's camera and music are not working . It's just like an ordinary watch.,Worthless,1
"I'm sorry to say that I just did not enjoy these mozzarella cheese Cheez-It's. I like actual mozzarella cheese but the flavor powder on these crackers was just way too much for me. I could only eat two. The aftertaste was worse. I had to pop a peppermint to get the taste out of my mouth. A couple other people tried the crackers and weren't too impressed either.<br /><br />I like regular cheddar Cheez-It's, so I think I'll stick to those.",Thanks but no thanks,1
Can't find a value for money watch.....overall look of the watch is not at all good. The return process is very bad.,Nan,1
"my dog loved them. I can not stand the, this is not jerky at all.",like dog food,1
"This used to be my favorite tea, but the formula has changed.  I've heard that if you can find the tea in the original pale yellow box, that it is still the old (good tasting) formula.  Read through the other negative reviews and comments for more info (and notice the dates on the reviews, good and bad).  It used to taste like a liquid fireball candy, now it tastes like hot water with black pepper.","Used to be excellent, formula changed",1
This flavor was just awful. my daughter refuses to eat it as it's so sour and tastes just plain gross. The sweet potatoes are just ruined by the apricots.,terribly sour,1
I gave my german shepard one of these and it gave her diarhea.<br />I have discontinued giving them to her and will not purchase again.,won't buy again,1
Weast products,Nan,1
"I have had kitty on Natural Balance Chicken, Duck, and Salmon (salmon being the least favorite as far as taste) - I like to switch it up for her (who likes to eat the same crackers day in, day out?) and recently purchased the ultra formula (because she is a senior citizen at 15).<br /><br />Anyhow, her little 'gifts' to me since having her on the ultra formula have been the stinkiest little stink bombs I have ever experienced. I get up in the middle of the night thinking ""she must not have buried that pile of ---,"" only to discover that she did fully bury that pile of ---."" It just smells like ---! I'm dying whilst writing this review.  Ugggghh.",Dear lord,1
tree health is about to die condition.,Don't waste your money,1
According to price product is not better.,Terrible product,1
Product quality was very poor. Delivery also very delayed. With this price we can get good decent product from near by stores.,Unsatisfactory,1
"I already have TP Link 300 Mbps but coverage was not good for 3 BHK of size 1800 sq. feet. So I bought this after reading reviews and the description which are claiming that they can cover large area but in reality it is almost same as 300 Mbps router which I have, in terms of coverage area. Only advantage with this router is with dual band it is providing unlike the other router. Don't waste your money on this. Instead buy two 300 Mbps routers which will cost less than this router and connec...",Absolute rubbish!,1
"I still feel sick to my stomach. They are very salty and the aftertaste is terrible. A friend recommended them since I eat a low carb lifestyle but they tasted pretty gross. I will not buy them again, and I am stuck with another 15 bags that I won't eat...",Yuck!,1
This product i receive in damage box and product i seen to be not start up,Utterly Disappointed,1
It makes you skit. Not safe for tiles and marble flooring house.,Don't waste your money,1
Qualities not good it's very bad quality,Nan,1
Received a defective piece.. had to return back,Don't waste your money,1
"After reading the ingredients list on this product  I know I will never buy or drink any. I would be telling anyone I can how unhealthy this drink is. Whey protein is a debatable protein source. I prefer a protein powder such as hemp. It is easily digested and mixes well with liquids. The only way soy is healthful is if it is fermented, like tofu. This product contains 18 grams of sugar, which is very high. The carbohydrates are also high at 29 grams. The cocoa is processed with alkali. There are mono and diglycerides in this drink. The vitamin k1 that is used is not very absorbable and not recommended by those who understand vitamin k and which source is most usable by the human body. If I am going to spend good money on a product it will be for something that supports good health. I can't say this product is much good for anything but making money off of those who will not know better. I prefer to make my own protein drink which is much healthier and I know where the ingredients come from.",Very unhealthy,1
Very very bad quality!!!,Hated it!,1
"Quality is not as expected , not foldable and adjustable",Very poor,1
I love most of the Kashi products I've tried. This was low in sugar which is great right BUT when my kids tried it and refused to finish it I tried it and I now know why. It tastes horrible....it has a very weird funny taste to it.,YUCK!!!,1
Poor quality,Nan,1
It stopped working after 3 months worst quality and service,Unsatisfactory,1
I hate to your products,Hated it!,1
Not at all working after a month of use. Dont buy,Did not meet expectations,1
Very poor product. After 1st wash color fed and look like very old. Waste of money don't buy .,Terrible product,1
RBStore is a cheat seller. I had ordered for 2 units and got only 1 unit in the carton eventhough both pack slip and invoice mentions 2 units. It was a COD order so I paid for 2 units and I got to know there is only 1 unit only after opening the carton. Do not purchase any products from this seller. Would request flipkart to blacklist such sellers permanently.,Never purchase from RBStore Seller,1
Very bad,Nan,1
Pls don't buy the product very very worstttttttttt........,Very poor,1
"dont buy this stuff, the price might seem attractive but I was so pissed when I opened the box and heard the rattling inside the k-cup, its not even packaged correctly, not filled to the top of the kcup and no coffee filter, no coffee grounds, and when using it in the Keurig machine you just get a yellowish colored watery instant coffee, not even the real thing. shame on them! I would give a negative rating if I could, they dont deserve a 1 rating.",worst coffee ever!,1
New is very good but use 2 week very bad performance,Hated it!,1
Very bad product sent me an used product colour is faded poor quality cloth inside liner cloth is worst,Nan,1
My 24000 rupees buy Canon camera instead some problems in Cemers but flipkard not exchange is very bad,Useless product,1
"I chose this brand of baby food as I dont have enough time to prepare my own. Organic and nice it seemed. It states from 6 months and up. My son is 7 months. All of a sudden he started drinking large amounts of water which lead me to look closer at the label. There is up to 20 mg of sodium in these things!! A baby under 1 year has no kidney function and cannot eat salt! THen all of a sudden he had break outs in his face. Happened twice. I looked at what he had eaten those two times. SPINACH! A baby under one year should NOT have spinach! I am absolutely puzzled how a company producing food for babies, have no idea about the most general of knowledge concerning babies. I have taken my son off this food and am making my own and can only hope I have not damaged his little body by these two weeks of eating ""Earths Best Organic""!",Am shocked at the contents!,1
Received defective and damaged product some plates where broken and it has not been pack properly with bubble wrap,Waste of money!,1
Not good very poor pant polister,Nan,1
"Flipkart delivery was extremely poor and fraud. The delivery boys left in  hurry. Me being a first time buyer feel cheated. I only checked the tv. But contest like wall mount, feet, remote battery missing. Flipkart is gradually losing quality. Not like earlier days.",Did not meet expectations,1
"I thought all caramel syrups were pretty much alike. I've tried various brands at local coffee shops and bought some on my own as well. When I saw this brand was being sold a few dollars cheaper than the others, I decided to give it a shot. Unfortunately, it doesn't taste like anything. It doesn't even taste like sugar. It's unfortunate but a lesson learned.",Pay for what you get,1
Waste product,Worst experience ever!,1
dont waste your money please this is a bad product and the rate is so high so i requested you to please do not buy .,Horrible,1
"WARNING: IF YOU HAVE A WEAK STOMACH DONT READ THIS!<br /><br />I am giving this one star since I don't think you can leave it blank.  I have written to the company about my problem and sent pictures, three weeks have gone by with no response from them.  I was hoping for an acknowledgment and an apology but alas...<br /><br />I ordered the cookies because of the great comments on Amazon and I am a newly diagnosed diabetic who loves cookies.  I opened the Lemon cookies and was reading my Kindle when something in my mouth didnt feel right.  I spit out what can only be discribed as a TAIL.  It appears to have been baked into the cookie and was hanging out of the piece I spit out of my mouth!!!!!!!!!!!!!!<br /><br />I am a 63 year old grandmother of 3, conservative and have NEVER posted anything like this anywhere.  Heaven only knows what I ate in the cookies preceding the tail (assuming it is a rodent tail).<br /><br />Amazon is a trusted part of my life and let me tell you I am terrified to eat anything out of a package again. Beware of these cookies, obviously they have at the least a terrible quality assurance dept and NO CUSTOMER SERVICE.","Beware Cookie ""Tail""",1
Doesn't come with connector cables !! Not worth the inflated price !!!!!,Waste of money!,1
Not use not suported,Not recommended at all,1
Every few days connecting problem,Expected a better product,1
Quality is not good,Terrible product,1
"These are good, but they are made in China. I wondered if they followed safe practices.  Not being certain, I'll opt out of buying again.",Made in China,1
Not  good,Worthless,1
"I eat dried mango almost everyday and have tried so many different brands, but this brand is the worst. I almost thought it was spoiled, but every 1 of the 6 packs tasted the same. Mushy and overly sweet. I had to check the package to make sure sugar wasn't added. I would definitely try a different brand!",SO GROSS!!,1
Very bad experience. From day 1 we have got rubbery smell. Not recommended.,Terrible product,1
"This detox tea tastes so bad that I had to force it down! I thought that it would be a good thing to do a natural detox, but I could hardly get through one box, and had to gulp it down quickly to try to not taste or smell it. It also stained my teeth! I would NEVER take this tea again!",Worst taste ever!,1
"Worst product ,do not buy,within 2 weeks it has been dead",Worthless,1
"Pls don't buy this product. This machine can't purify the water and the taste of the water not good and advisable to drink since we don't know when the machine is stop purifying the water. After drinking the water only we came to know that the machine was stop purifying the water , because of this i had suffered 3 times stomach ache. Technician comes frequently come and check the issue but there is no use to visit .",Unsatisfactory,1
Quality very bed and saiz not standard,Absolute rubbish!,1
Quality nalla illai,Very poor,1
"I did not give this coffee a good review...out of all k-cups coffees I have drank (which is quite considerable), this one is my least favorite...it is like freezed dried coffee...very disappointing",Freeze dried coffee,1
They were okay when you first bit into them but then chewing them made them gummy & nasty.  I'd rather do without.,Nasty & gummy,1
"This product not work properly and not support Fiber connectivity , I had submitted many complaint but not receive positive response from Flipkart . I want Refund my amount soon as soon possible.",Terrible product,1
"Don't waste your money on any of the Kettle brand potato chips.  I bought a case of these, and a case of the cheddar and sour cream.  Both cases ended up in the garbage can.",Garbage,1
This product not good only working 10 mint after compliment,Absolute rubbish!,1
"I am working on my second Cherry Tomato seed kit. After about three months, the first crop provided about eight Cherry tomatoes. Hardly a bumper crop. During the growth I had to clean out the pump which got clogged with roots (more on that latter). So I figured, ok, I had to disturb the root system when I had to clean out the pump, so perhaps that was the problem.<br /><br />I started a second crop of Cherry Tomatoes about three months ago. So far, I have had one marble sized yellow tomato. I also have an additional two, marble sized, yellow tomatoes ripening. I have not even seen any flowers on the two red tomato plants. The red tomato plants grow, but no tomato production.<br /><br />I am running out of plant nutrients. I checked AeroGrows site, and they want a ridiculous price for an additional package of plant nutrients. Corporate greed at its worse.<br /><br />I have read all of the reviews, and I see that about one-third of the Cherry tomato reviews are positive. That leaves two-thirds of Cherry Tomato reviews as negative. Adding my negative Cherry Tomato review drops the positive Cherry tomato reviews to 30% positive, 70% negative.<br /><br />Given that we are all growing these things under pretty well controlled conditions, I suggest that the Cherry tomato seed kits might have a limited shelf life, and AeroGrow could be selling their old kits.<br /><br />My negative review of AeroGrow's cherry Tomato seed kit on their site was NOT PUBLISHED. So I published my review on Amazon.<br /><br />With respect to the AeroGrow garden, in my opinion, the location of the pump is flawed. It should not be located at the bottom of the tank because that is where the roots want to go. The pump should be located higher up on the tank, and it should be located in a position where it can be easily maintained, without damaging your crops. I hope someone else comes out with a competitive product. Frankly, I don't like the way AeroGrow does business.",Looks like 70% of Cherry Tomato Reviews are NEGATIVE,1
"My keyboard isn't workin, so disappointed,very bad flipkart",Hated it!,1
It's not running.,Terrible product,1
Waste of money. Bad quality. Only one star for product display same as it shown.,Utterly Disappointed,1
In 2 week the product damagedWaste of money don't buy it,Worst experience ever!,1
okay this review would be about how it tasted but it never arrived at my door...i ordered it and they didnt even send it eww.this site sucks balls.they didnt even refund my money when i talked to them.ewwthis site sucks and i hope it gets shut down.VERY VERY SOON!!!! EWW!!!!!!!ps i rate them negative 1000,eww,1
This product  is very much ugly... Not at all compatable for money.. Very filthy product,Utterly Disappointed,1
The worst product and the brand. Even replaced product is faulty. Water keeps overflowing even the tank is full. I have lost my trust on Pureit brand as well as Flipkart who is promoting them on their platform. Water is a daily need and I am struggling for it because of the cheap quality brand. I am feeling guilty why I chose pureIt over Kent that I was using from last 6 years.,Don't waste your money,1
Used mom Not pure camphor,Utterly Disappointed,1
Waste your money,Not recommended at all,1
"With this mix, the package says just add a few items from your pantry and your family will be waking up to warm cinnamon buns fresh from the oven. Ok, just add milk, unsalted butter and roll the dough then bake. Voila! Cinnamon heaven, right? Not so much. The dough was tough and tasteless and the cinnamon/sugar topping was stale. The buns didn't rise up at all and were unappetizing. When we went to bite into one it was like a rock. We trashed the whole batch. I wouldn't waste time or money on these, I'll just go back to making my own from scratch.",Not Even Edible,1
"Have a co-worker who drinks only decaf, we got this and it's terrible. Tastes burned, bitter and even smells awful. I tried b/c I hate to waste but I will be getting rid of this, I can't bring myself to drink it.",Awful is too generous,1
Broken piece,Absolute rubbish!,1
Not worthy.  Wasted money,Waste of money!,1
Small size,Worst experience ever!,1
Varey bad product,Worthless,1
Very poor quality materials and oor stitching as well Appearing many holes with in a week time usage.,Nan,1
It is no way a 100w speaker. Volume of a 25w boat speaker is louder than this 100w product,Utterly Disappointed,1
"I really wanted these to be good, but they are very bland and taste nothing like potatoes.  Actually they taste more like Rice Krispies cereal. If you want something that tastes more like a potato chip, bout low in calories, buy the Popchip.<a href=""http://www.amazon.com/gp/product/B001RVAWY0"">Popchips, Original, 0.8-Ounce Single Serve Bags (Pack of 24)</a>",Rice Krispy on steroids,1
"Fixed according to directions and served to a panel of 3 people.  0/3 liked it.  I'm a fan of Kraft mac-n-cheese and could eat a pound of steamed broccoli for dinner alone but the powdered broccoli's look, taste and texture were bad.  As a side note, I'm not a fan of Velveeta or processed cheese like the cheese syrup they put on nachos but since I like Kraft man-n-cheese I thought I might like this.  No.",Not appetizing to any of the senses,1
Donât believe the positive reviewsâ¦The table shakes a lot ..no matter how many time you tighten the screws it keeps getting lose after 2 days â¦better to avoid â¦,Worthless,1
Bad top,Absolute rubbish!,1
"I thought the convienience and savings would make it worth it, but when I went back to reorder, the price had jumped by a couple bucks making it MORE EXPENSIVE than if I just bought them at my local grocery store... Amazon should notify of these changes, I would not have been happy if I got my next shipment having not caught this price-hike. I cancelled this subsription and looked around, from all the prices I see I could do better at grocery or Babies-R-Us!",Subscribe and Save seemed a good idea,1
Decent coffee.  Ridiculously overpriced.  Starbucks should be ashamed for charging a buck and a half for a cup of coffee made at home.,Rip-off,1
And they are DRASTICALLY lower in quality.  Do a brief search on the equivalent of the USDA or Dept of Animal Welfare in China.  Guess what?  No existo.  DO NOT BUY.,Now made in China.,1
Very bad quiliti not better health,Waste of money!,1
Not good.size is too low,Worst experience ever!,1
cheep quality product.,Utterly Disappointed,1
Very poor quality,Don't waste your money,1
Not happy with this product quality of box was so cheap ya but ok ok you can use it but according to box price so high,Waste of money!,1
"Somebody handed me one of these at a picnic, and it looked interesting -- basically, it was like eating jam that had been left on a plate and dried into a concentrated and gelatinous lump of  -- well....  So I looked at the box the next time I went to the store.<br /><br />Here's what it's a lump of:<br /><br />--Grapes From Concentrate,  THAT'S OKAY WITH ME<br />--Sugar,  ALSO OKAY WITHIN LIMITS<br />--Maltodextrin,  ANOTHER SUGAR<br />--Corn Syrup,  ANOTHER SUGAR -- THE MOST UNHEALTHY OF ALL THE SUGARS -- SO UNHEALTHY THAT THE USA IS THE ONLY --THE ONLY -- THE ONLY -- FIRST WORLD COUNTRY LEFT THAT HAS NOT BANNED IT'S USE IN FOOD.<br />--Pears From Concentrate,  OKAY -- 1 MORE ACTUAL FRUIT<br />--Partially Hydrogenated Cottonseed Oil,  BASICALLY 1 STEP FROM PLASTIC, AND CONSIDERED AS BAD OR WORSE FOR PUBLIC HEALTH THAN TOBACCO<br />--Carrageenan,  COLOR<br />--Citric Acid,  PRESERVATIVE<br />--Acetylated Mono and Diglycerides,  WHO KNOWS<br />--Sodium Citrate,  ANOTHER PRESERVATIVE<br />--Malic Acid,  ANOTHER PRESERVATIVE<br />--Xanthan Gum,  HELP KEEP THE PLASTIC FROM BECOMING BRITTLE<br />--Vitamin C (Ascorbic Acid),  CAN'T ARGUE WITH THAT -- AND ALSO A PRESERVATIVE<br />--Locust Bean Gum,  AGAIN, MOISTURIZER FOR THE PLASTIC<br />--Natural & Artificial Flavor,  ARTIFICIAL FLAVOR?  AREN'T WE TIRED OF THIS BY NOW?<br />--Potassium Citrate,  SOUNDS LIKE POTASSIUM AND CITRUS FRUIT -- BUT IT'S NOT<br />--Color (Yellow 5, Red 40, Blue 1)  COLOR, COLOR, AND MORE COLOR -- ISN'T FRUIT PRETTY COLORFUL ALL BY ITSELF?<br /><br />So fruit -- which is already colorful and already sweet, is puree'd with enough sugar to kill ants, then dosed up with preservatives so it has a half-life of 200 years -- AND they throw in partially hydrogenated fats (which are so bad for your that they have been banned in several states and countries around the world -- and will be banned by the rest before it's over) -- and what have you got?  Something nobody in their right mind would eat and call ""fruit"".<br /><br />This is not fruit -- it's candy.  And as candy -- it's not even good candy.  Why not go for a piece of real fruit followed by a bit of REAL 60-75% chocolate made with REAL sugar.  Chocolate has the highest concentration of anti-oxidents on the planet -- so many that it has a naturally ultra-long shelf life with no zero- none- nada- not-a-bit of preservative or partially hydrogenated anything.<br /><br />I'm sorry, but I've just about reached the end of my patience with these monolithic companies that market empty calories laced with poison under innocent sounding names and cute, brightly colored boxes with cartoon animals on them.<br /><br />And don't be fooled by anything that says ""Zero Grams of Trans Fat"" --if it has partially hydrogenated oils in the ingredients list -- then they're splitting hairs with the labeling laws.  Partially hydrogenated oil IS Trans Fat.<br /><br />If they make the portion size small enough that 1 portion has less than .5 grams of partially hydrogenated fat (even if the portion size is only 4 grams of the food)  -- then they are within the law to lie to you and advertise their product as having 0-grams of trans fat!  Can you believe it?  Whatever happened to the spirit of the law?<br /><br />Money happened.<br /><br />If a portion size is 4-grams, and each 4-grams of a 180-gram box contains .4-grams of partially hydrogenated fat -- that means the box could contain as much as 18-grams of TRANS FAT.  It's a con.  It's a lie.  It's trying to pass a lie that falls within the letter of the law off as the truth.  I've actually read boxes where the serving size was 2 crackers -- little tiny crackers -- that together weighed less than 9 grams.  That's less than 1/3 of an ounce.  Who is that supposed to be a serving for?  Barbie?<br /><br />And if you buy these things and feed them to your children -- then you're buying the lie because it's easy, pretty, well marketed, sweet (no kidding) and without a shadow of thought or conscience.",People actually pay money for this?,1
not good..,Very poor,1
worst product,Not recommended at all,1
"This USED to be my favorite breakfast, but now that they've fallen in line with the Nanny State of The Union and forcibly are choosing our lifestyle and food ingredients, this product is crapola, plain and simple. It used to be wonderful but now is not fit to feed my cat. ( I tried but she wouldn't eat it, either ) Worst stuff I ever tasted when it comes to oatmeal. And what is that horrible biting bitter flavor they substituted for brown sugar or real maple flavoring? Smells and tastes like something left in a cranky baby's diaper. Quaker has lost another customer.",Nasty NASTY stuff!,1
"Don't waste your money. This was a ruined Christmas gift for my sister. She loved these as a child, so I got her a box for a surprise. They were so stale that we couldn't even eat one package.<br />They tasted like cardboard-what a disappointment!!!",Completely Stale,1
Very small size not buy pleaseLight is very low,Worthless,1
"When I was growing up,  my mother used to buy these cookies for us.  They were crunchy, light and had a great flavor.  I have recently bought a bag of thes cookies and they are absolutely terrible.  How disappointing!!  They are tasteless, greasy and dense.  I will not buy again!!!!!!",Keebler Pecan Sandies,1
Worst product remort is not working also quality is not good,Terrible product,1
Quality  very bad,Nan,1
"I placed a few orders from Amazon on the 16th and most of them shipped the next day ot two at the most. This seller finally shipped my item 10 days after my purchase. I finally received my item on the 28th, which happened to be a hot day and my chocolates were all melted!<br /><br />However, the chocolates still taste great even after all this mishap. German chocolate is always amazing.<br /><br /> I had to refrigerate the chocolates which turned out ok. But my problem is that they didn't even notify me of the delay even though they claim that they will notify you if there is a delay longer than 48 hours.<br /><br />I wouldn't buy from them again.",Very poor shipping speed.,1
We get dammage product...,Worthless,1
"Agree with some of the negative reviewers in that it tastes a lot like the packaged, instant hot cocoa mixes.  I use Cadbury's or even Safeway brand cocoa mix and boil the milk and all that - but as I do have a Keurig machine (actually Cuisinart now - Keurig brand did not last a year!) wanted to try this since it's at my grocery store.<br />It's very sweet.  It seems to be creamier than the packet versions (no lumps of powder) but it is definitely sweet - and as much as I like sweet this was just too much.  Maybe as other reviewers have stated it is because it is made with a sweetener rather than sugar.<br />So - no I wouldn't recommend this at all if you expect 'chocolaty' because you do get a 'sugary/strange sweetener' taste.",very sweet - too sweet even,1
"I need a repellent to keep the ants from climbing the pole outside on my deck where my hummingbird feeder hangs full of sugar water.  I bought the HOT SHOT because it had a similar delivery system to COMBAT that I liked and previously used.  The opening on the HOT SHOT syringe is 1/4"", on the COMBAT about 1/8"".  The HOT SHOT syringe didn't work smoothly consequently I got big globs and blobs of gel, frequently in places I didn't want it, because the syringe kept sticking. I would  have to replace the HOT SHOT two more times to get through the summer ant problem  whereas with the COMBAT I was better able to target a specific area with a smooth delivery  without excess in unwanted places.  One purchase of the COMBAT lasted the whole summer.  The COMBAT has a tight fitting cap for the end of the syringe so there is no oozing or drying of the product.  I found the COMBAT and will continue using it.",Poor Delivery System,1
Lower  colety product,Nan,1
Battery is not good,Don't waste your money,1
"14 out of 24 cans arrived dented, due to inadequate packaging (boxes were shrink wrapped to a cardboard tray and then thrown in a shipping box with a small amount of butcher paper).  Dense material like canned goods should be surrounded with packing peanuts in order to arrive undamaged.  Needless to say, I will not order canned goods again through Amazon.<br /><br />This is not the end of the story.  Amazon's standard policy on damaged food is 10%, or 20% maximum discount.  In this case, 58.3% of the food  arrived damaged--and no way was I going to pay for what I won't use.  After 1/2 hour on the phone, the customer service manager granted me an ""exception"" and allowed a refund of 58.3% of my purchase price.  But I should not have had to waste so much of my time insisting on it.<br /><br />That said, Harmony Farms dog food itself is a great product.  The reason I'm willing to pay almost $2 per can is that it's made in the USA (no danger of melamine, etc.).  So there you have it.  Good product, but you'll probably be happier if you find a place to buy it locally.",14 cans arrived damaged,1
Very bad quality. It is lake a basketball,Unsatisfactory,1
Waste products not buy customer,Not recommended at all,1
"My cat normally loves and reacts strongly to catnip.  I've used a spray catnip before and he rolled and played.  However, when I spray this on his toys or his rug there is no reaction at alll.  I finally threw the bottle away.",Worthless.,1
It was looking like a second hand product..plug was damaged.. packing was horrible,Very poor,1
