Text,Summary,Score
"Just look at the ingredients.  If the ingredients are words that you can't pronounce or have never heard of, there's a good chance that they are not good.  I do love tea, especially peach tea, but after looking at the ingredients, I don't think I can drink this tea.  Also, I have read some bad remarks on this product, so it doesn't sound like it is all that good, anyway.  I am pretty sensitive to chemicals, and I don't know if these ingredients are chemicals or not, but I do like to stick to natural, simple ingredients that I do know about.  So that it doesn't go to waste, I will try to find somebody who is not sensitive to chemicals and big words.  I know lots of people who can eat/drink anything and it doesn't bother them.",Ingredients,1
both my boyfriend and I found that this coffee was way to weak and tasteless. i am back to looking for a coffee I can enjoy,Weak,1
"Get that diet taste in a non diet soda........  enough said.<br />If you use the Soda Stream, buy the bag in a box brand name soda syrup.",Nasty tasting splenda,1
These cost 69 cents a box in any grocery store.  $9 for just one 7oz package?  How can this listing be serious?,Outrageous price,1
"For name and appearance this bar should receive a five, but what really counts is taste, this I can only describe as barn flavors which gives it a minus 100.  As far as the chocolate and caramel flavors you could see them but the taste sure was not.  I had other people try them, I couldn't even give them away.",BARN FLAVOR,1
Bad product very very bad,Utterly Disappointed,1
"My dogs love the taste of it. my worry is the next day one of them vomit the entire food he just ate plus the one from the previous day. I have to said I did not gradually change to this food, so maybe that is the reason. but I notice lots of urine more than normal. I just don't feel comfortable feeding this food to my dogs.",I will not take a chance with my dogs health,1
"I used to buy these everyday! [sometimes twice], but since they changed the contents to merely water and artificial crap! I dont buy at all!!!They taste terrible now............ WHERE'S THE JUICE !",Rockstar Juiced is a joke now!,1
"Muir Glen cans are lined in plastic and leach Bisphenol A. Too bad because this was a great product and was a standard in my household. My initial conversations with them they contradicted this fact, which to me was misleading. General Mills owns Cascadian Farms as well and now I don't buy there either.<br />Now we use BioNature in jars or Pomi products in Tetra Pak cartons. All canned tomato products use BPA and so do many of the lids of jars used in food containment.<br />Now I also just make from scratch which is made simple by chef Andrew Carmellini in Everyday Italian. Lydia Bastianich is another favorite chef that deserves mention for simple yet big flavors.<br />Boil, peel, freeze and store. Can manufacturing companies that I corresponded with said they were working on a solution for later this year or next year.","Bpa, endocrine disruptor?",1
"The only reason I bought this was because I could buy it with a special 50% discount, therefore getting 6 boxes of it at half price of $ 20.80 seemed to be a good deal to me.  How wrong I was!  I was surprised to see its price jumped up to $ 22.15 when I wrote this review (cheaper when buy it via subscribe and save) which comes to about $ 3.69 a box, still cheaper than its price of $ 3.99 (plus sales tax) in my local Target.  However, the problem was when I opened its BIG box up, there were only five tiny packages: a small pack of hummus dip, a small pack of multi-seed crackers, a small pack (0.75 oz) of fruit and nut mix, a small pack of Dry Roasted Edamame and a very tiny (0.43 oz) roast dark 60% cacao organic dark chocolate.  Unless you eat like a bird, there is no way this box can serve as anything but a snack, a very small one.<br /><br />(1) Hummus dip and multi-seed crackers - there is 13 gram of fat (3 gram saturated fat) in the hummus dip, however the biggest problem is its large content of salt (450 gm sodium).  It tasted so salty (bitter) that it completely ruined the taste of the hummus.  If you eat this dip everyday, you would have high blood pressure for sure.  Now the crackers are quite good but there are really only a few of them.<br /><br />(2)Baja Blend fruit nut mix - I was surprised to see it has 5 gm of fat and 9 gm of sugar in such a tiny bag (0.75 oz or 21 gm).  It tastes quite sweet, a little bit tart and wow, spicy HOT! It burned my tongue.  A very strange mix, not too bad but very unusual and I am not sure I want to repeat the experience. I could not figure out where the hot spice comes from even after I read its package repeatedly.<br /><br />(3) Seapoint Farms Dry Roasted Edamame - quite healthy, only 150 gm of sodium and 4 gm fat (0.5 gm saturated).  It tasted pretty good but no different than any roasted edamame you can buy yourself.  It would be much cheaper.<br /><br />(4)Chocolate - yes, its is supposed to be organic, but strange enough it will not tell you how much sugar or fat it has.  The chocolate piece's outside is also whitish, to me that may be a sign of the chocolate becomes too old or? How does it taste? It taste like anything but chocolate.  I do not believe I can eat more than a bite of it.<br /><br />Therefore, not trying to bad mouth this product, but why would I want to pay about $ 3.69 to pay for a box of something that is not healthy, not filling, not tasting good unless, well, you want to lose weight.  I believe if you would eat it as your meals everyday, you will be almost guaranteed to lose weight because you would simply discard the whole box before you can finish them and will still feel hungry.","Unhealthy, unfilling and expensive!",1
"Bought this for Mother's day and it has Christmas mugs in it.  How awful, wish I would have known that.  Why are they selling Christmas baskets in May!!??",BEWARE IT IS A CHRISTMAS BASKET!!,1
"I was looking for no-fat salad dressings and stumbled across Walden Farms Thousand Island dressing. Wow, what a huge disappointment. Doesn't smell good, doesn't taste good, nothing. I'm serious. This product doesn't come anywhere close to the real thing and I have tried several no-fat dressing that do. Sorry, this needs to come off the shelf.",Cal-free Thousand Island huge disappointment.,1
"These gave me a headache, too much sugar, and other ingredients that didn't sit well.  I would not recommend to someone trying to eat healthier.",Too much sugar - big time headache!,1
Waste of money,Worthless,1
"Please do your research on pet foods and what is actually good for your cats.  Hills science diet is a horrible food filled with horrible ingredients.  They charge an outrageous price because it's the #1 vet recommended food.  This is a joke and the only reason why it's rated #1 buy vets is because Hills gives money to soon to be vets to help them go through school.  Then they sell the cat food to them cheap so they can jack up the price and make a nice profit off of your marketing foolishness.  Read the back of the labels of Hills brand and you will see that most of the top ingredients are grains or cheap meat by products which are the feathers, bones, unwanted organs from animals, basically all of the stuff we wouldn't eat. try something like orijen or evo.",Please avoid!!,1
This product tastes strange.  It is not a clean refreshing citrus flavor.  The cola flavor is better.,Wierd Taste,1
"Quality is not good at all, colour is fedded. Looking like old product.",Nan,1
Don't give the demo,Did not meet expectations,1
The energy drink that they sent had a different color label. It did not taste as good as the one I ordered and it gave me digestive problems. I don't recommend their changed energy drink formula. The original tasted great & is the reason I bought the machine.,Not the original,1
"Lipton Tea & Honey, Decaffeinated Iced Green Tea Mix, Strawberry Acai is a iced tea mix that comes in packets that you add to a bottle of water. Easy and convenient for on the go.<br /><br />It has a strong strawberry flavor but it leaves a a strong aftertaste that I didn't like.<br /><br />It's supposed to be sweetened with honey, made from real tea leaves and real fruit flavors but I didn't taste the honey and it wasn't that sweet, kind of a bitter taste.",Disappointed!,1
"The reviewer Jo Ana Starr is right, this canned ""lobster bisque"" is plain gross.  I am a lifelong New Englander and I've been enjoying lobster bisque for 30 years...this stuff is NOT lobster bisque. It's an odd-colored concoction of canola oil, milk, and ""native tapioca starch."" I paid $3.89 for a (tiny) 10-oz can, and I'm very disappointed. There is so much canola oil in it, you can feel it on your tongue.  No lobster flavor at all.  It's a travesty that they're using the name ""Bar Harbor.""",It's NOT good,1
"I have nothing nice to say about this coffee.  It was just awful.  Not even drinkable.  Rather than throwing it away, I used it for a church function, where we usually use standard cheap, canned ground coffee.  Well, this decaf was soooo bad that several people actually commented that it was the worst they'd ever had.  It sounds tasty, but don't go there....",Positively Disgusting Coffee....,1
"I had been a huge fan of this until they changed to the 'new recipe'. I don't buy it anymore, its very sweet, and way worse than the original recipe, which I thought was one of the best quality dark chocolates available.",Too sweet and creamy.,1
Most of the balloons are damage.. and rest are popping within 3-4 minute. Quality of balloons are very bad... Wasted of money on this product...,Unsatisfactory,1
Very bad product waste of money bad in frame and hate the almunium frame of cycle.,Very poor,1
"This was the worst tasting tea, actually the worst tasting anything, that I have ever consumed. I took one sip and could not bring myself to finish the cup. It tasted like dirt, which makes sense since it is a root. The rest of the tea bags are going in the trash.",NASTY,1
V v v badð¡ð¡,Not recommended at all,1
"Reviewed by my girlfriend:<br /><br />I'm a type I Diabetic, and I was very hopeful when I tried this product. My favorite soybean pasta has been discontinued, and after a search on the web, this seemed to be a good alternative. However, this affected my blood sugar exactly like regular pasta would. The claim of ""lower digestible carbs"" didn't ring true. My blood sugar was through the roof. I don't recommend this for diabetics. Unfortunately, I've yet to find anything out on the market that will substitute for the real thing.",This is not a good product for Diabetics,1
"Don't order from Faerie's finest, you will be wasting your time. Order your product from somewhere else.<br />Ingredients were not available for shipment when they promised and I kept calling for a status of my order. Every time they told me the same thing: ""next week we'll receive the ingredients and after that we'll ship the product"". Over an over the same thing until I got tired and I had to cancel my order. The person on the phone was not willing to help or answer my questions. Very frustrating and a waste of time.",Awful custumer service from faerie's finest,1
"The product is great, shipping was terrible.<br /><br />Next time I order I would appreciate the bottles to be in the case. I received the shipment haphazardly in a large shipping box.  The bottles were in a 6-pack but not in a FIJI case. I have been ordering and receiving 24 bottles in a FIJI case as the picture shows which DID NOT happen in this particular order.",Terrible Shipping,1
"I purchased this type of enzymatic chew to help control tartar build up on my dog's teeth.  I even verified that the additive Chlorhexdine is safe by contacting my Vet. I must say that my dog loved these chews  but they made her very ill for several days after just the first one.  She suffered from runny bowels and vomitting. The clean up alone was dreadful and so time consuming.  Of course, she's worth it, but I would never want to put her through this kind of debilitating experience again.",BEWARE! DO NOT BUY IF YOUR DOG HAS SENSITIVE DIGESTION!!!,1
Poor cloth,Nan,1
These K-cups are good when they don't explode - but a lot of them have exploded during brewing and made a mess all over my kitchen.,Exploding K-Cups,1
"Well, where to begin.<br /><br />First, I have been drinking tea (green, black, oolong, white, etc.) for more than 15 years as either loose leaf (whole leaf) or bagged. My number one love is green tea ... specifically Japanese Sencha. I have consumed many grades and types of steaming (mild, medium and ""deep""). I have also tried many of the products offered by ""Two Leaves and a Bud"" by way of Whole Foods (who do not offer this).<br /><br />This is the first offering by Two Leaves that I sadly have to say is dreadful. Before you think I'm a jerk, let me say that they offer some awesome bagged teas. This just isn't one of them (IMHO).<br /><br />The orange that they add KILLS all of the beauty that the Sencha could potentially offer. What's worse is they suggest a steeping time of 4-minutes. Ludicrous. Most mild steamed (which this is) or medium steamed Sencha's steep for no more than 3-minutes. Four minutes will produce an acrid bitter brew unless the Sencha is a superior grade (which this doesn't appear to be).<br /><br />Even after steeping this for about 3 minutes, the taste is still overwhelmingly sharp & ""bitty"" (just a weaker sharp). I can not believe that the people at Two Leaves have ever had a good cup of loose leaf Sencha. I can't. If they have, they wouldn't offer this.<br /><br />I can only assume they add so much orange to it because the Sencha grade is poor. Otherwise, why not sell it without the orange flavor like the wonderful <a href=""http://www.amazon.com/gp/product/B000FGZKWM"">Two Leaves and a Bud, Tamayokucha Extremely Green Tea, Tea Bags, 100 Count</a> they offer? The Tamayokucha is excellent! No orange flavor needed, and I bet none is needed here either.<br /><br />Bummer is that I was dumb enough to buy the 100 count box (my bad). There is no way I can drink the rest of it and I would feel horrible if I gave it away to someone. They would think I had no taste in teas.<br /><br />My advice: buy a single box of this first. If you like it, switch to coffee.",Hideous over-powering orange flavor,1
"As a deodorant, this product stinks! (pun intended) Usually by the afternoon, I can smell an unpleasant odor. It's me. Usually by the end of the day it has quit working. Don't use this product.",Doesn't work,1
"this is probably one of the most disgusting foods i have ever had, and i am pretty open minded about these things. it resembles nothing that of a rice. it has a disgusting gelatinous texture. the flavor is similar to piece of plastic if u have ever bitten on one by accident. my package had strange aroma to it. this shouldn't be classified as food. i highly don't recommend this product.",bad texture no flavor,1
"INGREDIENTS: SUGAR, GLUCOSE SYRUP SOLIDS, COCA (PROCESSED WITH ALKALI), PARTIALLY HYDROGENATED VEGETABLE OIL (MAY CONTAIN COCONUT, SOYBEAN, SUNFLOWER, PALM AND/OR CANOLA), NONFAT DRY MILK, MODIFIED WHEY, MALTODEXTRIN, SALT, NATURAL AND ARTIFICIAL FLAVORS, CELLULOSE GUM, SODIUM CASEINATE, CORNSTARCH, LACTOSE, DIPOTASSIUM PHOSPHATE, SUCRALOSE, MONO- AND DIGLYCERIDES, SILICON DIOXIDE, SOY LECITHIN, ARTIFICIAL COLOR.<br />CONTAINS: MILK AND SOY<br /><br />People, please read labels....",PARTIALLY HYDROGENATED VEGETABLE OIL,1
We purhcased a can of this sauce from Walmart to make enchiladas with.  No one would eat their meal because this sauce tasted so bad.  Not only does it taste bad it is also much hotter than a mild sauce.  Unless your taste buds are broke I would not purchase this stuff.,Ruined our meal.  Anyone actually eat this stuff?,1
Bad product.its not working in a after 15 day,Worst experience ever!,1
The bread has a good taste but does not rise properly and only makes 1/2 loaf.  I checked the temp of the water as suggested with bad results.  After raising the temp to 100 degrees I got it to rise to 3/4 loaf.  Pretty expensive for the quality and I won't buy again.,bread,1
"I ordered this assuming it would taste like soda water flavored with mint.  Wrong!  It has  heavy lemon flavor with mint overtones.  I don't like lemon with mint, so if you like lemon laced with mint this is for you!  I'm not happy with this at all.  It contains lemon juice concentrate as a major ingredient, they don't advertise that fact! Also, the mint is not spearmint, it's more of a mix of mint brewed into an extract.  The result is not the pleasant flavor I was hoping to find.  I suggest this product would be great if it were soda water infused with spearmint, but I suppose that wouldn't make everyone happy.","It's lemon, with a little mint!",1
Very small wall clock it doesn't look good in big wall only for small cabin frame material is not good quality,Worst experience ever!,1
"The current product, ""Certified Organic Raw Cacao Powder from Ecuador, sold by SAAQIN"", is of terrible quality. Somehow, reviews for a similar item, produced by ""Alive and Aware"", were associated with this product. The cocoa I received when ordering through this page is made by ""Organic Herbal Essence"". Alive and Aware is delicious; Organic Herbal Essence is not. Another warning: After receiving the 5lb bag of Organic Herbal Essence and hating it, I ordered ""Alive and Aware Certified Organic Raw Cacao Powder from Ecuador - 2 Pounds"", shipped by Halaleveryday. I thought for sure I'd get Alive and Aware, given it's in the product title, but Halaleveryday actually shipped me ""Organic Herbal Essence"". Grr.","Warning: Reviews do not reflect actual product (Feb 19, 2012)",1
Its not working west my mony,Very poor,1
I ordered a box of these and I think I got a bad batch.  They taste horrible and I have tried all 3 size settings on my brewer.  There isn't even the slightest hint of chocolate flavor.  I have cconsumed over 30 different varities of KCups and this is by far the worst one yet.  It is completely undrinkable.,Horrible Taste,1
"This drink is awful. It reminds me of a cocktail (perhaps a plain margarita) that one has left on the table from a party the night before, where the drink is diluted from the melted ice and the alcohol evaporated away. The drink has a very slight lime flavor and a tinge of sweetness (but less sweet than other crystal light drinks when made according to instructions). It is reminiscent of a plain margarita, so if that is what you seek, you may find it here. But I don't like it, and I ordinarily LOVE Crystal Light. I suggest Sunrise Orange or Iced Tea by Crystal Light, more authentic flavor. Also, the Mojito flavor ""mocktail"" is not bad, assuming you like subtle mint flavors.",Undrinkable and Weird,1
"Noodles arrived on time and in perfect condition, however I do not recommend this product, not the consistency I was looking for chewy like squid rings.  Not use to the texture, wish I knew what to make with them, tried pasta sauce and made a aisia noodle stir fry, both came out undesirable. Bought 12 packs, not sure what to do with the product.",Chewy,1
"I decided to buy the Stash ORGANIC chamomile tea this time and since I drink a lot of it, I decided to use the ""Subscribe and Save"" feature to save 15% and receive it regularly. IT IS TASTELESS! Hope Amazon will give me a refund.  If not, I am stuck with 6 boxes that will end up in the green waste bin. Cancelled the ""Subscribe and Save"" feature. Calling Amazon for a refund right now.",MIGHT AS WELL BREW UP DRIED LAWN CLIPPINGS!,1
"Do not buy product contain gelatin. Gelatin in baby food ??? Why gerber ???, Do not buy if you follow vegetarian or kosher/Halal regime.",GELATIN in baby food,1
"According to the manufacturer's website, this (and many of their other products) contains menadione sodium bisulfite complex.<br /><br />Menadione is a synthetic precursor for Vitamin K and has been reported to have toxic effects. The use of menadione over the natural alternatives (such as leafy greens and kelp) is only for cost-saving reasons, hence usually only found in cheaper and lower quality animal food. It's surprising that pet food at this high of a price actually contains this substance.<br /><br />Menadione is banned by the Food & Drug Administration in over-the-counter supplements due to its potential for organ toxicity. It's also banned in Europe for human consumption.<br /><br />A study in rats showed that exposure to menadione ""produced lesions in the kidney, heart, liver and lung."" Chiou et al. Toxicology 1997.<br /><br />Menadione's toxicity seems to be due to its ability to induce oxidative stress in cells.<br /><br />Do an online search for menadione and you'll find more info from a pet food watchdog trying to stop the inclusion of this substance.<br /><br />In light of recent episodes of toxic pet food and the questionable behaviors of manufacturers and our regulatory agencies, I would advise you to avoid feeding this to your cats.",Warning: Contains Menadione,1
I was very diappointed in this product. It was NASTY and I didn't like the Pina Colada either. I would like to return the rest of the product for a refund. The Wine Freezer was delicious! I will buy this item again.,Nasty,1
Surprised with this one as the Coffee Bean & Tea Leaf rules Cali and serves up the best Coffee and Teas. I tried many cups and am can say this Chai is my least favorite Chai ever. The tea is like warm water and very weak. I would not suggest this to anyone that enjoys a good tea.,Warm water,1
Worst quality,Nan,1
It is not working after a month,Utterly Disappointed,1
"This is the first time I've been disappointed in an Amazon.com purchase. The chocolate was all covered with a white mossy tinge. The pieces were all discolored and distorted, stuck to each paper. The salt had all melted into the chocolate.I had to throw it all away.<br />Rosanna J Tangorra",What a disappointment!,1
The only thing this item trapped was a few fruit flies.  It didn't work at all as a fly trap.  I wouldn't recommend it.,Didn't work,1
Very bad,Very poor,1
Very worst level of shopping experience.. I receomed not to buy this product... They will not provide any support or proper response on product installation... Still this time product is not installed very very worst level of response from Flipkart..,Worst experience ever!,1
I enjoy Amazing Grass products so I purchased this.  The flavor left a rather unpleasant aftertase.  So far this is the only product with this brand that I have not liked at all.,Amazing Grass Orange Dreamsickle,1
"though i did not purchase this through amazon, i did get this recently from thw grocery store, and have to admit im really disappointed.  i followed the instructions the first evening EXACTLY as instructed with the included paper, and no results.  the second day, i brewed just a little longer, still no luck, (basing this off some other comments from other users here on amazon) then today i only did 6oz, not 12 as the paper instructs, and even brewed this for 6 minutes.  still nothing.<br /><br />i really wanted this to work for me like it has for others, i had heard good things and was so excited, but still no luck.  i guess im one of those people this doesnt affect. ill keep trying it daily till i run out, but looks like ill have to try something else.<br /><br />as for taste, its not bad. just tastes like tea leaves, not deliciously fantastic, but not nose-pinchingly undrinkable. good luck to anyone else. hope you have more success with this than i did",really disappointed,1
I ordered decaf hazelnut k-cups from Gloria Jean (that's what I clicked on) what came in the mail was non-decaf (regular) I cannot drink regular coffee. I was dismayed to see they were not returnable. If it were not for Amazon's wonderful policy (they refunded me anyway!) I would be stuck with coffee I could not use. This is why I order 90% of my online purchases from Amazon. I will go back to Paul Newman decaf k-cups. They arrive as ordered.,Not what I ordered!,1
"Worst hai yr don't buy thi too much greesy cream , don't use if u have sensitive skin , oily , combination ...never use it ðððððjust waste of money",Useless product,1
"Both my dog and cat got sick eating these dog treats by Dogswell. My cat, smart enough after getting sick refused to eat anymore, but my dog of course wanted more each day. After a few days of eating one piece each day my dog had blood in her system. I had a vet bill just to tell me that she had a gastro. infection from something she ate. Instead of taking the prescribed antibiotics I took her to a Chinese Medicine doctor and got her an herbal treatment. After a few days she was fine.<br />China, unfortunately has been a very poor and dirty country and also not controlled by any healthy system to prevent problems. Their doctors know this and do very well after thousands of years treating diseases from this condition. If I would not eat this treat, if I am afraid to eat it, I will not give it to my pet and I certainly do not want to pay for two doctor's bills for the cheap treat again. Either I get more expensive and healthier or treats or I simply give my pets the chicken or duck pieces I eat as treats.",China made Dog Treats,1
"We bought this bone for our 2 year old lab and he swallowed it in 10min.... he got sick the next day, had to get surgery and a week at the vet with antibiotics etc... DO NOT BUY THIS BONE !!! bottom line do not give cooked bones to your dogs. I don't understand that the dog treats companies are selling this treat since any vet will tell you, it is extremly bad for your dog. We learned our lesson the hard way !",Surgery for the dog after eating this bone !!,1
Very bad condition receive itms in side dumy  and use material,Hated it!,1
